Sample,gene_family,product_name,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,Gene Length,Gene Base Coverage,Bases Abundance,% Gene Coverage,Presence
ACM01,mef(A),macrolide efflux MFS transporter Mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_063853638.1,NG_047968.1,1227,302,302,24.612876935615322,1
ACM01,tet(44),tetracycline resistance ribosomal protection protein Tet(44),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063855884.1,NG_048146.1,1923,1373,5612,71.39885595423817,1
ACM01,lnu(C),lincosamide nucleotidyltransferase Lnu(C),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE,WP_063851341.1,NG_047924.1,495,252,723,50.90909090909091,1
ACM01,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856419.1,NG_048292.1,1920,480,1025,25.0,1
ACM01,ant(3'')-Ia,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN/SPECTINOMYCIN,WP_071846265.1,NG_052306.1,846,143,143,16.90307328605201,1
ACM01,tet(32),tetracycline resistance ribosomal protection protein Tet(32),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_015573056.1,NG_048124.1,1920,152,302,7.916666666666666,1
ACM07,mef(A),macrolide efflux MFS transporter Mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_012102963.1,NG_047970.1,1227,302,302,24.612876935615322,1
ACM07,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856407.1,NG_048270.1,1926,1926,17813,100.0,1
ACM07,tet(X),tetracycline-inactivating monooxygenase Tet(X),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856436.1,NG_048304.1,1167,236,302,20.22279348757498,1
ACM07,lnu(AN2),lincosamide nucleotidyltransferase Lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE,WP_004308783.1,NG_047920.1,513,512,3611,99.80506822612085,1
ACM07,dfrD,trimethoprim-resistant dihydrofolate reductase DfrD,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,WP_063844481.1,NG_047754.1,489,152,302,31.083844580777097,1
ACM07,vanS-C,VanC-type vancomycin resistance histidine kinase VanS,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_034869172.1,NG_051722.1,1131,509,906,45.00442086648983,1
ACM07,vat(E),streptogramin A O-acetyltransferase Vat(E),AMR,AMR,STREPTOGRAMIN,STREPTOGRAMIN,WP_063856930.1,NG_048545.1,645,645,13219,100.0,1
ACM07,spw,ANT(9) family aminoglycoside nucleotidyltransferase Spw,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_002294509.1,NG_048075.1,810,452,877,55.80246913580247,1
ACM07,blaTEM,class A extended-spectrum beta-lactamase TEM-187,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032494853.1,NG_050224.1,858,205,302,23.892773892773892,1
ACM07,tet(M),tetracycline resistance ribosomal protection protein Tet(M),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856399.1,NG_048240.1,1920,379,599,19.739583333333332,1
ACM07,ant(6)-Ib,aminoglycoside nucleotidyltransferase ANT(6)-Ib,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_003454325.1,NG_047396.1,858,313,604,36.48018648018648,1
ACM07,blaEC,cephalosporin-hydrolyzing class C beta-lactamase EC-8,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063860454.1,NG_049086.1,1134,455,1041,40.123456790123456,1
ACM07,tet(M),tetracycline resistance ribosomal protection protein Tet(M),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856111.1,NG_048218.1,1920,528,603,27.500000000000004,1
ACM07,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856422.1,NG_048295.1,1923,1650,41839,85.8034321372855,1
ACM07,tet(O),tetracycline resistance ribosomal protection protein Tet(O),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856405.1,NG_048262.1,1920,1903,41952,99.11458333333333,1
ACM07,tet(M),tetracycline resistance ribosomal protection protein Tet(M),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856394.1,NG_048231.1,1920,1513,3900,78.80208333333333,1
ACM07,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),AMR,AMR,MACROLIDE,MACROLIDE,WP_063844601.1,NG_047793.1,738,374,865,50.67750677506775,1
ACM07,blaOXA,OXA-286 family class D beta-lactamase OXA-671,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_081401608.1,NG_062218.2,843,167,294,19.81020166073547,1
ACM07,tet(K),tetracycline efflux MFS transporter Tet(K),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_000492283.1,NG_048200.1,1380,154,281,11.159420289855072,1
ACM07,mef(A),macrolide efflux MFS transporter Mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_063853563.1,NG_047960.1,1218,179,302,14.69622331691297,1
ACM07,mef(En2),macrolide efflux MFS transporter Mef(En2),AMR,AMR,MACROLIDE,MACROLIDE,WP_063853729.1,NG_047980.1,1206,1142,7262,94.69320066334991,1
ACM07,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_001255864.1,NG_047395.1,909,170,302,18.701870187018702,1
ACM07,aadE,aminoglycoside 6-adenylyltransferase AadE,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_001255868.1,NG_047378.1,867,490,1490,56.516724336793544,1
ACM07,lnu(A),lincosamide nucleotidyltransferase Lnu(A),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE,WP_063851340.1,NG_047913.1,486,477,2100,98.14814814814815,1
ACM07,erm(X),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X),AMR,AMR,MACROLIDE,MACROLIDE,WP_063844879.1,NG_047848.1,855,157,602,18.362573099415204,1
ACM07,tet(M),tetracycline resistance ribosomal protection protein Tet(M),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856108.1,NG_048214.1,1920,365,893,19.010416666666664,1
ACM07,tetB(P),tetracycline resistance ribosomal protection protein TetB(P),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_012478245.1,NG_048319.1,1959,1505,7618,76.82491066870853,1
ACM07,tet(M),tetracycline resistance ribosomal protection protein Tet(M),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856401.1,NG_048245.1,1920,547,755,28.489583333333336,1
ACM07,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,AMR,AMR,SULFONAMIDE,SULFONAMIDE,WP_063855066.1,NG_048089.1,828,302,302,36.473429951690825,1
ACM07,msr(D),ABC-F type ribosomal protection protein Msr(D),AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_000420313.1,NG_048006.1,1464,674,1493,46.03825136612022,1
ACM07,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_002294505.1,NG_050582.1,864,490,905,56.71296296296296,1
ACM07,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),AMR,AMR,MACROLIDE,MACROLIDE,WP_011018369.1,NG_056191.1,753,280,280,37.18459495351926,1
ACM07,tet(S),tetracycline resistance ribosomal protection protein Tet(S),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856411.1,NG_048276.1,1926,168,302,8.722741433021806,1
ACM07,eat(A),ABC-F type ribosomal protection protein Eat(A),AMR,AMR,PLEUROMUTILIN,PLEUROMUTILIN,WP_002296175.1,NG_047762.1,1503,1169,3595,77.77777777777779,1
ACM07,tet(32),tetracycline resistance ribosomal protection protein Tet(32),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_015573056.1,NG_048124.1,1920,821,13358,42.760416666666664,1
ACM07,blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-74,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_032652275.1,NG_066690.1,1146,160,302,13.961605584642234,1
ACM07,tet(40),tetracycline efflux MFS transporter Tet(40),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063855880.1,NG_048138.1,1221,1221,224103,100.0,1
ACM07,erm(C),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C),AMR,AMR,MACROLIDE,MACROLIDE,WP_011382144.1,NG_047816.1,735,322,882,43.80952380952381,1
ACM07,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856415.1,NG_048286.1,1920,1919,23863,99.94791666666667,1
ACM07,tet(L),tetracycline efflux MFS transporter Tet(L),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_012477450.1,NG_048209.1,1383,416,435,30.079537237888648,1
ACM07,ant(9)-Ia,aminoglycoside nucleotidyltransferase ANT(9)-Ia,AMR,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN,WP_000067268.1,NG_047397.1,783,155,301,19.79565772669221,1
ACM07,mef(A),macrolide efflux MFS transporter Mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_014636304.1,NG_047975.1,1218,148,296,12.151067323481117,1
ACM07,msr(C),ABC-F type ribosomal protection protein Msr(C),AMR,AMR,MACROLIDE,MACROLIDE,WP_063854349.1,NG_048003.1,1479,1068,4771,72.21095334685599,1
ACM07,tet(M),tetracycline resistance ribosomal protection protein Tet(M),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856397.1,NG_048237.1,1920,215,302,11.197916666666668,1
ACM07,vanC,D-alanine--D-serine ligase VanC2/3,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856635.1,NG_048344.1,1053,316,584,30.009496676163344,1
ACM07,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_002293989.1,NG_052140.1,549,486,1316,88.52459016393442,1
ACM07,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,AMR,AMR,SULFONAMIDE,SULFONAMIDE,WP_032490786.1,NG_048112.1,819,151,151,18.43711843711844,1
ACM07,tet(A),tetracycline efflux MFS transporter Tet(A),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063855887.1,NG_048151.1,1200,283,302,23.583333333333336,1
ACM07,tet(33),tetracycline efflux MFS transporter Tet(33),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_109545038.1,NG_048128.2,1224,351,597,28.676470588235293,1
ACM07,aph(3')-IIIa,aminoglycoside O-phosphotransferase APH(3')-IIIa,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,WP_063841495.1,NG_047419.1,795,176,302,22.138364779874216,1
ACM07,vanXY-C,D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856788.1,NG_048504.1,573,368,1162,64.22338568935427,1
ACM07,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,AMR,AMR,SULFONAMIDE,SULFONAMIDE,WP_063855540.1,NG_048108.1,816,464,906,56.86274509803921,1
ACM07,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856408.1,NG_048271.1,1965,1273,2931,64.78371501272264,1
ACM07,erm(33),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(33),AMR,AMR,MACROLIDE,MACROLIDE,WP_011133550.1,NG_047776.1,732,156,291,21.311475409836063,1
ACM07,tet(L),tetracycline efflux MFS transporter Tet(L),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856080.1,NG_048201.1,1377,1356,8823,98.47494553376906,1
ACM07,tet(Z),tetracycline efflux MFS transporter Tet(Z),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_064190967.1,NG_048311.1,1251,467,2393,37.33013589128697,1
ACM07,mef(A),macrolide efflux MFS transporter Mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_063853591.1,NG_047963.1,1218,159,601,13.054187192118228,1
ACM07,blaAIM,subclass B3 metallo-beta-lactamase AIM-1,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063857820.1,NG_048689.1,912,429,1203,47.03947368421053,1
ACM07,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856421.1,NG_048294.1,1920,1525,7951,79.42708333333334,1
ACM07,tet(V),tetracycline efflux MFS transporter Tet(V),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_003896589.1,NG_048280.1,1260,151,151,11.984126984126984,1
ACM07,aadA9,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA9,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_063840458.1,NG_047369.1,837,164,302,19.59378733572282,1
ACM07,qacE,quaternary ammonium compound efflux SMR transporter QacE delta 1,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,WP_000679427.1,NG_048042.1,348,163,302,46.839080459770116,1
ACM07,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_122634437.1,NG_062353.1,1920,1376,13382,71.66666666666667,1
ACM07,tetA(P),tetracycline efflux MFS transporter TetA(P),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_003479690.1,NG_048315.1,1263,347,604,27.47426761678543,1
ACM07,nimC,nitroimidazole resistance protein NimC,AMR,AMR,NITROIMIDAZOLE,NITROIMIDAZOLE,WP_063854491.1,NG_048013.1,492,163,289,33.13008130081301,1
ACM07,vanTc,membrane-bound serine racemase VanT,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856758.1,NG_048462.1,2121,1276,2718,60.16030174446016,1
ACM07,aad9,ANT(9) family aminoglycoside nucleotidyltransferase,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_002578722.1,NG_047322.1,777,291,580,37.45173745173745,1
ACM07,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),AMR,AMR,MACROLIDE,MACROLIDE,WP_063844850.1,NG_047842.1,747,144,144,19.27710843373494,1
ACM07,lsa(E),ABC-F type ribosomal protection protein Lsa(E),AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,WP_002294513.1,NG_047935.1,1485,301,1765,20.26936026936027,1
ACM07,mef(A),macrolide efflux MFS transporter Mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_063853638.1,NG_047968.1,1227,211,302,17.19641401792991,1
ACM07,mef(A),macrolide efflux MFS transporter Mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_063853698.1,NG_047973.1,1227,152,282,12.387938060309699,1
ACM07,tet(44),tetracycline resistance ribosomal protection protein Tet(44),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063855884.1,NG_048146.1,1923,1729,13718,89.91159646385856,1
ACM07,lnu(C),lincosamide nucleotidyltransferase Lnu(C),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE,WP_063851341.1,NG_047924.1,495,219,1656,44.24242424242424,1
ACM07,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856419.1,NG_048292.1,1920,1522,25964,79.27083333333333,1
ACM11,oqxB,multidrug efflux RND transporter permease subunit OqxB18,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,WP_063865440.1,NG_050436.1,3153,1694,3453,53.726609578179506,1
ACM11,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856407.1,NG_048270.1,1926,1086,2114,56.38629283489096,1
ACM11,blaOXA,class D beta-lactamase OXA-491,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_020848173.1,NG_049771.1,762,307,597,40.28871391076115,1
ACM11,ampC,CMY2/MIR/ACT/EC family class C beta-lactamase,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_006178946.1,NG_047383.1,1146,170,302,14.834205933682373,1
ACM11,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856415.1,NG_048286.1,1920,664,1351,34.583333333333336,1
ACM11,blaACI,class A extended-spectrum beta-lactamase ACI-1,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_006555379.1,NG_048596.1,855,151,151,17.660818713450293,1
ACM11,lnu(AN2),lincosamide nucleotidyltransferase Lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE,WP_004308783.1,NG_047920.1,513,169,604,32.94346978557505,1
ACM11,vanC,D-alanine--D-serine ligase VanC2/3,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856652.1,NG_048346.1,1053,302,302,28.679962013295345,1
ACM11,blaOXA,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-362,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_063862732.1,NG_049655.1,831,302,302,36.34175691937425,1
ACM11,vanT-C,membrane-bound serine racemase VanT-C,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856755.1,NG_048459.1,2103,447,1194,21.255349500713265,1
ACM11,lsa(D),ABC-F type ribosomal protection protein Lsa(D),AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,WP_165713684.1,NG_071178.1,1494,287,302,19.21017402945114,1
ACM11,vanS-C,VanC-type vancomycin resistance histidine kinase VanS,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_034869172.1,NG_051722.1,1131,672,1039,59.41644562334217,1
ACM11,vanC,D-alanine--D-serine ligase VanC2/3,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856635.1,NG_048344.1,1053,581,906,55.175688509021846,1
ACM11,cfxA,class A broad-spectrum beta-lactamase CfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_063843237.1,NG_047633.1,966,202,302,20.910973084886127,1
ACM11,tet(32),tetracycline resistance ribosomal protection protein Tet(32),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_002602099.1,NG_048125.1,1920,181,293,9.427083333333334,1
ACM11,tet(39),tetracycline efflux MFS transporter Tet(39),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_004856455.1,NG_048137.1,1188,155,289,13.047138047138047,1
ACM11,vanXY-C,D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856788.1,NG_048504.1,573,293,302,51.13438045375218,1
ACM11,tet(S),tetracycline resistance ribosomal protection protein Tet(S),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_109544237.1,NG_048275.2,1920,152,302,7.916666666666666,1
ACM11,vanXY-C,D-Ala-D-Ala dipeptidase/D-Ala-D-Ala carboxypeptidase VanXY-C,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856795.1,NG_048506.1,573,247,302,43.1064572425829,1
ACM11,blaEC,cephalosporin-hydrolyzing class C beta-lactamase EC-8,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063860454.1,NG_049086.1,1134,545,902,48.05996472663139,1
ACM11,blaSED,SED family class A beta-lactamase,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_063842905.1,NG_047543.1,885,529,739,59.774011299435024,1
ACM11,mph(G),Mph(G) family macrolide 2'-phosphotransferase,AMR,AMR,MACROLIDE,MACROLIDE,WP_014386803.1,NG_047998.1,885,221,302,24.97175141242938,1
ACM11,tet(L),tetracycline efflux MFS transporter Tet(L),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856080.1,NG_048201.1,1377,404,733,29.339143064633262,1
ACM11,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856422.1,NG_048295.1,1923,445,604,23.140925637025482,1
ACM11,tet(O),tetracycline resistance ribosomal protection protein Tet(O),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856405.1,NG_048262.1,1920,793,1496,41.302083333333336,1
ACM11,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856421.1,NG_048294.1,1920,811,1055,42.239583333333336,1
ACM11,tet(Y),tetracycline efflux MFS transporter Tet(Y),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856459.1,NG_048310.1,1176,151,453,12.84013605442177,1
ACM11,blaOXA,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-282,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_004728961.1,NG_049580.1,831,301,584,36.22141997593261,1
ACM11,fosA8,fosfomycin resistance glutathione transferase FosA8,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,WP_063277905.1,NG_066545.1,426,409,1502,96.0093896713615,1
ACM11,blaCMH,class C beta-lactamase CMH-1,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_063859580.1,NG_048766.1,1146,914,1491,79.75567190226876,1
ACM11,tet(A),tetracycline efflux MFS transporter Tet(A),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063855886.1,NG_048150.1,1197,151,151,12.614870509607352,1
ACM11,fosA,fosfomycin resistance glutathione transferase FosA2,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,WP_025205684.1,NG_050406.1,426,319,906,74.88262910798123,1
ACM11,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_122634437.1,NG_062353.1,1920,596,906,31.041666666666668,1
